account_id,vpa,mobile,device,fraud_ring_id
RING18_ACC4,divya.253@icici,9298543394,,18
RING19_ACC0,sanjay.892@oksbi,9274958225,,19
RING19_ACC1,ramesh.349@oksbi,9274958225,,19
RING20_ACC0,mohammed.888@oksbi,,,20
RING20_ACC1,divya.800@apl,9405588454,DEV_0OXFQ8MY,20
RING20_ACC2,arjun.740@apl,,DEV_0OXFQ8MY,20
RING21_ACC0,rajesh.646@hdfcbank,9690723155,DEV_2GC5WI6F,21
RING21_ACC1,pooja.143@icici,9690723155,,21
RING21_ACC2,rohan.439@hdfcbank,9690723155,DEV_2GC5WI6F,21
RING22_ACC0,deepa.667@apl,9592962567,DEV_BVR6K2VM,22
RING22_ACC1,priya.963@oksbi,9592962567,DEV_BVR6K2VM,22
RING22_ACC2,ananya.027@okaxis,9592962567,,22
RING22_ACC3,lakshmi.598@paytm,,,22
RING23_ACC0,rohan.589@ybl,9731919879,DEV_82N2ATQY,23
RING23_ACC1,pooja.366@apl,,,23
RING23_ACC2,kavya.610@ybl,9731919879,DEV_82N2ATQY,23
RING23_ACC3,priya.253@paytm,9731919879,,23
RING24_ACC0,ramesh.311@hdfcbank,,DEV_HQIN9N6X,24
RING24_ACC1,deepa.650@hdfcbank,9578686926,,24
RING24_ACC2,deepa.072@okaxis,,DEV_HQIN9N6X,24
RING24_ACC3,ananya.752@okaxis,,DEV_HQIN9N6X,24
RING24_ACC4,vikram.181@paytm,,DEV_HQIN9N6X,24
RING25_ACC0,suresh.044@apl,9021410435,,25
RING25_ACC1,rajesh.006@ybl,9021410435,,25
RING25_ACC2,pooja.735@paytm,9021410435,,25
RING25_ACC3,priya.716@hdfcbank,9021410435,,25
RING26_ACC0,pooja.095@apl,9423440463,DEV_F7C3DD03,26
RING26_ACC1,meera.879@icici,9423440463,DEV_F7C3DD03,26
RING26_ACC2,manoj.262@ybl,9423440463,DEV_F7C3DD03,26
RING26_ACC3,priya.758@hdfcbank,9423440463,,26
RING26_ACC4,pooja.098@paytm,9423440463,DEV_F7C3DD03,26
RING27_ACC0,ramesh.170@ybl,9931160790,,27
RING27_ACC1,divya.642@icici,9931160790,DEV_TNQFLL7V,27
RING27_ACC2,kavya.655@paytm,9931160790,DEV_TNQFLL7V,27
RING27_ACC3,ramesh.032@okaxis,,DEV_TNQFLL7V,27
RING28_ACC0,meera.249@okaxis,,,28
RING28_ACC1,lakshmi.082@icici,9071375880,DEV_5BA75UUZ,28
RING29_ACC0,mohammed.174@hdfcbank,9727065173,DEV_8XFDJGF1,29
RING29_ACC1,sanjay.861@ybl,9727065173,,29
RING29_ACC2,rohan.530@oksbi,9727065173,DEV_8XFDJGF1,29
RING29_ACC3,kavya.088@icici,9727065173,DEV_8XFDJGF1,29
RING30_ACC0,vikram.393@hdfcbank,9486341018,DEV_MZSGIPPS,30
RING30_ACC1,sanjay.006@paytm,9486341018,,30
RING31_ACC0,manoj.065@ybl,9351396359,DEV_LN23Y30Y,31
RING31_ACC1,deepa.371@okaxis,9351396359,DEV_LN23Y30Y,31
RING31_ACC2,priya.557@icici,9351396359,DEV_LN23Y30Y,31
RING32_ACC0,divya.916@icici,,DEV_Z8V12II8,32
RING32_ACC1,kavya.754@okaxis,,,32
RING32_ACC2,ananya.804@paytm,9511669703,DEV_Z8V12II8,32
RING33_ACC0,priya.867@okaxis,9272914924,,33
RING33_ACC1,divya.617@oksbi,9272914924,,33
RING34_ACC0,arjun.720@paytm,9285751230,DEV_P2QD6VAS,34
RING34_ACC1,mohammed.539@icici,9285751230,,34
RING35_ACC0,rajesh.941@okaxis,9346920737,,35
RING35_ACC1,rajesh.027@ybl,9346920737,DEV_W10LBT3G,35
RING36_ACC0,divya.372@ybl,,DEV_EN606N9R,36
RING36_ACC1,vikram.530@apl,9952713783,DEV_EN606N9R,36
RING36_ACC2,meera.144@apl,,DEV_EN606N9R,36
RING36_ACC3,meera.299@ybl,9952713783,DEV_EN606N9R,36
RING36_ACC4,manoj.869@okaxis,,,36
RING37_ACC0,sanjay.560@apl,9353395386,DEV_Z7VXUQDR,37
RING37_ACC1,kavya.529@paytm,,DEV_Z7VXUQDR,37
RING37_ACC2,lakshmi.913@apl,9353395386,DEV_Z7VXUQDR,37
RING38_ACC0,sanjay.164@okaxis,9616786167,,38
RING38_ACC1,rajesh.516@paytm,9616786167,DEV_THQSE0KI,38
RING38_ACC2,pooja.901@paytm,,DEV_THQSE0KI,38
RING39_ACC0,pooja.510@apl,9525104954,DEV_NEGN2B4J,39
RING39_ACC1,ramesh.036@paytm,9525104954,DEV_NEGN2B4J,39
RING39_ACC2,arjun.652@icici,9525104954,DEV_NEGN2B4J,39
RING39_ACC3,suresh.532@hdfcbank,,DEV_NEGN2B4J,39
RING40_ACC0,karthik.428@oksbi,,DEV_HQFGHDIL,40
RING40_ACC1,karthik.870@hdfcbank,9690792408,,40
RING40_ACC2,divya.483@ybl,9690792408,,40
RING40_ACC3,rajesh.637@icici,,,40
RING41_ACC0,karthik.044@oksbi,9723422264,DEV_A7IZQ2NM,41
RING41_ACC1,arjun.292@okaxis,9723422264,,41
RING42_ACC0,vikram.235@okaxis,,,42
RING42_ACC1,vikram.244@okaxis,9551030271,,42
RING42_ACC2,deepa.607@paytm,,DEV_WTJSJFFP,42
RING42_ACC3,priya.753@okaxis,9551030271,,42
RING43_ACC0,priya.716@ybl,9731285831,DEV_Q4IVN2QQ,43
RING43_ACC1,suresh.254@hdfcbank,9731285831,DEV_Q4IVN2QQ,43
RING44_ACC0,priya.643@paytm,9846575842,DEV_7G4EBC94,44
RING44_ACC1,suresh.277@oksbi,,,44
RING44_ACC2,ananya.632@ybl,,,44
RING45_ACC0,lakshmi.850@hdfcbank,,DEV_7KBQNXPV,45
RING45_ACC1,sanjay.191@ybl,9444844098,,45
RING45_ACC2,rohan.056@paytm,9444844098,DEV_7KBQNXPV,45
RING46_ACC0,rajesh.761@hdfcbank,,DEV_B20UC87N,46
RING46_ACC1,karthik.220@ybl,,DEV_B20UC87N,46
RING46_ACC2,deepa.481@icici,9462051447,,46
RING46_ACC3,deepa.008@paytm,,,46
RING47_ACC0,manoj.167@icici,9499404869,,47
RING47_ACC1,arjun.204@paytm,,DEV_48JU63LX,47
RING48_ACC0,sanjay.226@apl,9905828582,DEV_8QFDTN0P,48
RING48_ACC1,ramesh.481@oksbi,,DEV_8QFDTN0P,48
RING48_ACC2,lakshmi.128@oksbi,,DEV_8QFDTN0P,48
RING48_ACC3,deepa.482@icici,,DEV_8QFDTN0P,48
RING49_ACC0,lakshmi.696@apl,9330070540,DEV_83X9AGE9,49
RING49_ACC1,kavya.305@ybl,9330070540,,49
RING49_ACC2,deepa.788@oksbi,9330070540,DEV_83X9AGE9,49
RING49_ACC3,manoj.061@oksbi,9330070540,DEV_83X9AGE9,49
RING50_ACC0,kavya.624@apl,9754223314,DEV_Q8LX3P72,50
RING50_ACC1,priya.191@apl,9754223314,,50
RING50_ACC2,sanjay.574@ybl,,,50
RING50_ACC3,pooja.737@oksbi,9754223314,DEV_Q8LX3P72,50
RING51_ACC0,vikram.079@oksbi,9100821463,,51
RING51_ACC1,sanjay.182@icici,9100821463,DEV_ZLEL8PL6,51
RING51_ACC2,deepa.747@apl,9100821463,DEV_ZLEL8PL6,51
RING52_ACC0,ramesh.475@icici,,DEV_ST69WWP8,52
RING52_ACC1,kavya.346@hdfcbank,9304852367,,52
RING52_ACC2,meera.996@okaxis,,,52
RING52_ACC3,arjun.436@ybl,,,52
RING53_ACC0,kavya.764@icici,9225094349,,53
RING53_ACC1,kavya.789@oksbi,9225094349,DEV_2J3TPS82,53
RING53_ACC2,pooja.604@paytm,9225094349,,53
RING53_ACC3,suresh.097@okaxis,9225094349,,53
RING54_ACC0,rohan.914@ybl,9147372966,,54
RING54_ACC1,pooja.416@paytm,,DEV_CFE78C11,54
RING54_ACC2,mohammed.331@paytm,,,54
RING55_ACC0,karthik.216@hdfcbank,9870011854,,55
RING55_ACC1,arjun.897@icici,,DEV_7WB42P31,55
RING55_ACC2,lakshmi.104@ybl,9870011854,DEV_7WB42P31,55
RING55_ACC3,lakshmi.648@paytm,,DEV_7WB42P31,55
RING56_ACC0,kavya.696@hdfcbank,9551149736,DEV_B4LL3K4B,56
RING56_ACC1,sanjay.899@paytm,9551149736,DEV_B4LL3K4B,56
RING57_ACC0,ramesh.285@icici,,DEV_E91LEUUC,57
RING57_ACC1,pooja.985@icici,9402101551,DEV_E91LEUUC,57
RING57_ACC2,karthik.709@oksbi,9402101551,DEV_E91LEUUC,57
RING58_ACC0,priya.602@apl,9009514435,,58
RING58_ACC1,manoj.246@paytm,9009514435,,58
RING58_ACC2,deepa.424@icici,9009514435,DEV_JVU2CGXU,58
RING58_ACC3,manoj.219@oksbi,,DEV_JVU2CGXU,58
RING59_ACC0,arjun.776@okaxis,,DEV_YU3U8IZI,59
RING59_ACC1,priya.567@hdfcbank,9687260157,DEV_YU3U8IZI,59
RING60_ACC0,divya.420@ybl,9217783466,DEV_PHWHM54X,60
RING60_ACC1,ramesh.752@ybl,,DEV_PHWHM54X,60
RING60_ACC2,rohan.174@hdfcbank,9217783466,DEV_PHWHM54X,60
RING61_ACC0,rohan.756@paytm,,DEV_E2XN9TXF,61
RING61_ACC1,kavya.705@ybl,9322889244,DEV_E2XN9TXF,61
RING61_ACC2,arjun.765@icici,9322889244,,61
RING62_ACC0,lakshmi.041@okaxis,9690936550,,62
RING62_ACC1,lakshmi.423@okaxis,9690936550,DEV_GDL1J2VW,62
