tx_id,entered_name,actual_name,payee_vpa,amount,input_method,vpa_age_days,prior_tx_count,unique_senders_7d,mule_flagged,mule_flag_count,is_lookalike,name_score,fraud_ring_id,bank_flags,seasonal_burst,session_anomaly,vpa_is_new,sanction_match,label
218,Vikram Associates,Amit Patel,sneha.346@apl,169293.35,type,1354,30,3,False,0,False,0.67,,0,False,False,False,False,biz_individual_mismatch
172,BOB Support,Sneha Menon,bob.support@axl,27818.05,paste,15,0,38,False,0,True,0.28,,0,False,True,False,False,clipboard_scam
288,Pooja Shah,Amit Menon,meera.303@apl,11858.51,type,29,100,18,False,0,False,0.91,ring_03,0,False,False,False,False,ring_satellite
21,IRCTC,IRCTC,irctc@sbi,37787.73,type,1712,255,5,False,0,False,0.93,,0,False,False,False,False,clean
266,Sneha Iyer,Meera Joshi,divya.776@icici,63001.42,type,78,100,33,True,3,False,0.95,ring_00,1,False,False,False,False,ring_member
224,Vikram Services,Sanjay Reddy,rajesh.511@icici,176419.75,type,1218,25,3,False,0,False,0.47,,0,False,False,False,False,biz_individual_mismatch
121,Ramesh Patel,Ramesh Patel,amit.340@icici,175243.06,type,61,4,75,True,3,False,0.95,,3,False,False,False,False,mule_consortium
13,Paytm,Paytm,paytm@paytm,7726.78,type,627,861,7,False,0,False,0.95,,0,False,False,False,False,clean
6,Lakshmi Menon,Lakshmi Menon,mohammed.47@okaxis,33097.04,type,1883,346,2,False,0,False,0.98,,0,False,False,False,False,clean
7,Karthik Nair,Karthik Nair,lakshmi.167@oksbi,18572.03,type,729,736,5,False,0,False,0.96,,0,False,False,False,False,clean
87,Karthik Joshi,Karthik Joshi,kavya.680@okaxis,89325.56,type,80,38,45,True,1,False,0.95,,1,False,False,False,False,mule
226,BOB,Bank of Baroda,pooja.9@paytm,84870.06,type,1382,168,3,False,0,False,0.42,,0,False,False,False,False,name_mismatch_abbr
73,Meera Nair,Meera Nair,mohammed.482@hdfcbank,1067.23,type,1404,103,6,False,0,False,0.91,,0,False,False,False,False,clean
17,IRCTC,IRCTC,irctc@sbi,30487.61,type,613,432,3,False,0,False,0.94,,0,False,False,False,False,clean
194,Axis Support,Pooja Kumar,axis.support@hdfcb,33437.97,paste,19,1,19,False,0,True,0.16,,0,False,True,False,False,clipboard_scam
149,Paytm Support,Sanjay Menon,paytm.service@paytrn,4134.18,paste,3,2,24,True,1,True,0.34,,0,False,False,False,False,lookalike
246,Manoj Reddy,Manoj Reddy,manoj.new@apl,154776.45,type,1,0,1,False,0,False,0.94,,0,False,False,True,False,fresh_vpa
129,Pooja Patel,Pooja Patel,rajesh.968@ybl,75657.47,type,43,14,57,True,4,False,0.95,,4,False,False,False,False,mule_consortium
211,Lakshmi Enterprises,Sanjay Das,pooja.298@icici,178809.68,type,522,199,3,False,0,False,0.62,,0,False,False,False,False,biz_individual_mismatch
189,ICICI Support,Meera Kumar,icici.support@axl,22840.43,paste,12,1,34,False,0,True,0.3,,0,False,True,False,False,clipboard_scam
306,Amit Das,Amit Das,mohammed.791@oksbi,53303.11,type,869,1660,91,False,0,False,0.91,,0,True,False,False,False,seasonal_burst
103,Vikram Verma,Vikram Verma,sneha.767@paytm,124514.84,type,66,12,33,True,1,False,0.95,,1,False,False,False,False,mule
55,PhonePe,PhonePe,phonepe@ybl,9672.82,type,1661,438,3,False,0,False,0.95,,0,False,False,False,False,clean
28,Rajesh Verma,Rajesh Verma,pooja.101@hdfcbank,2624.36,type,1407,906,1,False,0,False,1.0,,0,False,False,False,False,clean
51,Lakshmi Joshi,Lakshmi Joshi,sanjay.447@hdfcbank,30349.82,type,1347,168,7,False,0,False,0.99,,0,False,False,False,False,clean
128,Ananya Reddy,Ananya Reddy,rohan.471@oksbi,58512.07,type,64,10,20,True,4,False,0.95,,4,False,False,False,False,mule_consortium
171,PNB Support,Kavya Gupta,pnb.support@axl,25336.12,paste,2,2,28,False,0,True,0.12,,0,False,True,False,False,clipboard_scam
46,Sneha Joshi,Sneha Joshi,arjun.886@okaxis,8208.84,type,1938,880,3,False,0,False,0.99,,0,False,False,False,False,clean
152,Flipkart Service,Rohan Iyer,flipkart.support@0kaxis,23863.02,paste,11,3,7,False,0,True,0.18,,0,False,False,False,False,lookalike
86,Arjun Joshi,Arjun Joshi,divya.459@oksbi,119975.27,type,47,19,20,True,1,False,0.95,,1,False,False,False,False,mule
122,Rajesh Kumar,Rajesh Kumar,ananya.420@apl,175477.26,type,14,16,29,True,4,False,0.95,,4,False,False,False,False,mule_consortium
111,Suresh Das,Suresh Das,pooja.474@hdfcbank,88517.04,type,71,12,32,True,4,False,0.95,,4,False,False,False,False,mule_consortium
212,Arjun Enterprises,Lakshmi Rao,ananya.243@okaxis,159122.75,type,253,112,3,False,0,False,0.6,,0,False,False,False,False,biz_individual_mismatch
192,SBI Support,Pooja Joshi,sbi.support@yba,32399.6,paste,14,0,28,False,0,True,0.15,,0,False,True,False,False,clipboard_scam
297,Eastern Star Holdings,Eastern Star Holdings,karthik.566@oksbi,1004409.69,type,426,5,3,False,0,False,0.97,,0,False,False,False,True,sanction
250,Mohammed Das,Mohammed Das,mohammed.new@icici,154499.09,type,6,0,1,False,0,False,0.97,,0,False,False,True,False,fresh_vpa
1,Suresh Joshi,Suresh Joshi,arjun.229@paytm,7062.94,type,509,742,9,False,0,False,0.89,,0,False,False,False,False,clean
191,BOB Support,Ananya Verma,bob.support@paytrn,36749.13,paste,15,0,15,False,0,True,0.1,,0,False,True,False,False,clipboard_scam
42,PhonePe,PhonePe,phonepe@ybl,31891.96,type,836,215,8,False,0,False,0.95,,0,False,False,False,False,clean
63,Rajesh Menon,Rajesh Menon,manoj.437@hdfcbank,41545.4,type,1422,506,3,False,0,False,0.97,,0,False,False,False,False,clean
268,Manoj Reddy,Amit Rao,vikram.336@okaxis,43451.87,type,22,100,22,False,0,False,0.95,ring_00,0,False,False,False,False,ring_satellite
230,HDFC,HDFC Bank,sneha.522@okaxis,40737.32,type,582,123,3,False,0,False,0.23,,0,False,False,False,False,name_mismatch_abbr
264,Kavya Joshi,Kavya Joshi,kavya.new@ybl,337420.1,type,3,0,1,False,0,False,0.94,,0,False,False,True,False,fresh_vpa
160,Flipkart Refund,Divya Menon,flipkart.support@0kaxis,11330.08,paste,5,1,29,False,0,True,0.3,,0,False,False,False,False,lookalike
254,Sanjay Nair,Sanjay Nair,sanjay.new@oksbi,495094.76,type,5,0,1,False,0,False,0.95,,0,False,False,True,False,fresh_vpa
66,Zomato,Zomato,zomato@paytm,34728.1,type,1746,269,2,False,0,False,0.93,,0,False,False,False,False,clean
52,Amazon Pay,Amazon Pay,amazon.pay@apl,35468.39,type,303,582,9,False,0,False,0.96,,0,False,False,False,False,clean
311,Karthik Patel,Karthik Patel,rohan.309@okaxis,28788.48,type,494,542,49,False,0,False,0.94,,0,True,False,False,False,seasonal_burst
217,Pooja Solutions,Rohan Reddy,kavya.630@okaxis,109028.22,type,1229,184,3,False,0,False,0.5,,0,False,False,False,False,biz_individual_mismatch
299,Northern Light Enterprises,Northern Light Enterprises,manoj.942@ybl,180848.34,type,208,49,3,False,0,False,0.99,,0,False,False,False,True,sanction
291,Mohammed Pillai,Ramesh Verma,meera.141@ybl,42914.51,type,19,100,15,False,0,False,0.96,ring_04,0,False,False,False,False,ring_satellite
303,Sanjay Singh,Sanjay Singh,ananya.810@hdfcbank,79193.46,type,525,1225,86,False,0,False,0.97,,0,True,False,False,False,seasonal_burst
10,Mohammed Reddy,Mohammed Reddy,sanjay.218@icici,32806.39,type,1110,955,8,False,0,False,0.9,,0,False,False,False,False,clean
196,Pooja Associates,Mohammed Rao,manoj.568@hdfcbank,8965.19,type,1162,31,3,False,0,False,0.62,,0,False,False,False,False,biz_individual_mismatch
49,Arjun Reddy,Arjun Reddy,deepa.409@ybl,16480.27,type,442,841,5,False,0,False,0.92,,0,False,False,False,False,clean
241,HDFC,HDFC Bank,kavya.722@paytm,21520.5,type,1943,350,3,False,0,False,0.29,,0,False,False,False,False,name_mismatch_abbr
229,SBI,State Bank of India,priya.404@okaxis,37946.64,type,1194,385,3,False,0,False,0.44,,0,False,False,False,False,name_mismatch_abbr
228,PNB,Punjab National Bank,kavya.76@icici,39248.53,type,1422,491,3,False,0,False,0.35,,0,False,False,False,False,name_mismatch_abbr
252,Ramesh Pillai,Ramesh Pillai,ramesh.new@oksbi,404582.28,type,2,0,1,False,0,False,0.99,,0,False,False,True,False,fresh_vpa
206,Rajesh Enterprises,Sneha Das,mohammed.242@okaxis,156810.5,type,950,112,3,False,0,False,0.55,,0,False,False,False,False,biz_individual_mismatch
277,Ramesh Reddy,Ramesh Singh,arjun.553@oksbi,14777.11,type,23,100,9,False,0,False,0.93,ring_01,0,False,False,False,False,ring_satellite
274,Arjun Pillai,Suresh Verma,kavya.475@ybl,35307.49,type,42,100,25,False,0,False,0.93,ring_01,0,False,False,False,False,ring_satellite
186,BOB Support,Manoj Rao,bob.support@paytrn,23839.74,paste,6,1,48,False,0,True,0.13,,0,False,True,False,False,clipboard_scam
38,PhonePe,PhonePe,phonepe@ybl,21965.41,type,1412,770,5,False,0,False,0.95,,0,False,False,False,False,clean
173,PNB Support,Sanjay Menon,pnb.support@yba,26403.31,paste,5,0,38,False,0,True,0.12,,0,False,True,False,False,clipboard_scam
34,Amit Reddy,Amit Reddy,sneha.41@icici,31007.14,type,1158,723,10,False,0,False,0.95,,0,False,False,False,False,clean
304,Lakshmi Kumar,Lakshmi Kumar,meera.238@ybl,68707.23,type,1177,1784,61,False,0,False,0.93,,0,True,False,False,False,seasonal_burst
197,Suresh Solutions,Lakshmi Nair,mohammed.354@hdfcbank,52019.56,type,1486,46,3,False,0,False,0.66,,0,False,False,False,False,biz_individual_mismatch
314,Rajesh Iyer,Rajesh Iyer,sneha.140@oksbi,31030.47,type,776,1181,78,False,0,False,0.93,,0,True,False,False,False,seasonal_burst
285,Priya Joshi,Divya Shah,sneha.721@okaxis,14203.09,type,50,100,15,False,0,False,0.9,ring_03,0,False,False,False,False,ring_satellite
289,Arjun Gupta,Pooja Das,sanjay.264@apl,39351.23,type,56,100,23,False,0,False,0.96,ring_03,0,False,False,False,False,ring_satellite
25,Amit Gupta,Amit Gupta,divya.827@okaxis,20412.29,type,493,149,7,False,0,False,0.92,,0,False,False,False,False,clean
132,Phonepe Service,Divya Pillai,phonepe.service@axl,22651.8,paste,5,1,24,False,0,True,0.39,,0,False,False,False,False,lookalike
184,ICICI Support,Rajesh Menon,icici.support@yba,17821.76,paste,15,1,44,False,0,True,0.15,,0,False,True,False,False,clipboard_scam
322,Amit Das,Amit Das,karthik.991@apl,22827.8,paste,640,57,3,False,0,False,0.88,,0,False,True,False,False,session_anomaly
270,Amit Kumar,Pooja Gupta,kavya.741@apl,5979.67,type,15,100,16,False,0,False,0.96,ring_00,0,False,False,False,False,ring_satellite
83,Rajesh Menon,Rajesh Menon,karthik.345@icici,9161.5,type,33,36,35,True,1,False,0.95,,1,False,False,False,False,mule
193,HDFC Support,Arjun Singh,hdfc.support@axl,33752.83,paste,20,3,14,False,0,True,0.12,,0,False,True,False,False,clipboard_scam
269,Amit Gupta,Mohammed Shah,rajesh.829@icici,7503.61,type,47,100,12,False,0,False,0.91,ring_00,0,False,False,False,False,ring_satellite
72,Swiggy,Swiggy,swiggy@ybl,10661.85,type,969,395,7,False,0,False,0.91,,0,False,False,False,False,clean
137,Hdfc Kyc,Priya Gupta,hdfc.secure@paytrn,9530.35,paste,12,5,13,True,1,True,0.33,,0,False,False,False,False,lookalike
260,Ananya Gupta,Ananya Gupta,ananya.new@paytm,471121.42,type,1,0,1,False,0,False,0.93,,0,False,False,True,False,fresh_vpa
146,Sbi Verify,Ramesh Patel,sbi.kyc@0kaxis,18672.09,paste,9,0,28,True,1,True,0.17,,0,False,False,False,False,lookalike
16,Rajesh Kumar,Rajesh Kumar,rohan.996@apl,25079.25,type,665,569,2,False,0,False,0.98,,0,False,False,False,False,clean
156,Icici Secure,Pooja Verma,icici.kyc@yba,20551.46,paste,10,5,25,False,0,True,0.32,,0,False,False,False,False,lookalike
282,Pooja Singh,Meera Rao,ananya.398@icici,15928.63,type,36,100,14,False,0,False,0.95,ring_02,0,False,False,False,False,ring_satellite
290,Rajesh Patel,Lakshmi Patel,pooja.501@okaxis,34723.82,type,63,100,23,True,3,False,0.95,ring_04,1,False,False,False,False,ring_member
205,Ramesh Enterprises,Rohan Das,karthik.373@apl,105051.77,type,527,27,3,False,0,False,0.49,,0,False,False,False,False,biz_individual_mismatch
286,Kavya Singh,Rajesh Rao,lakshmi.316@apl,16770.27,type,46,100,24,False,0,False,0.92,ring_03,0,False,False,False,False,ring_satellite
257,Suresh Joshi,Suresh Joshi,suresh.new@paytm,405845.45,type,5,0,1,False,0,False,0.97,,0,False,False,True,False,fresh_vpa
174,BOB Support,Mohammed Rao,bob.support@0kaxis,34075.72,paste,2,1,38,False,0,True,0.3,,0,False,True,False,False,clipboard_scam
151,Hdfc Help,Meera Gupta,hdfc.secure@hdfcb,22258.23,paste,7,2,19,False,0,True,0.27,,0,False,False,False,False,lookalike
54,Flipkart,Flipkart,flipkart@icici,25405.41,type,1665,468,6,False,0,False,0.93,,0,False,False,False,False,clean
259,Manoj Iyer,Manoj Iyer,manoj.new@ybl,230374.96,type,1,0,1,False,0,False,0.92,,0,False,False,True,False,fresh_vpa
31,Pooja Das,Pooja Das,divya.159@apl,9575.9,type,745,109,10,False,0,False,0.97,,0,False,False,False,False,clean
323,Rohan Reddy,Rohan Reddy,manoj.572@icici,17835.03,paste,789,86,3,False,0,False,0.93,,0,False,True,False,False,session_anomaly
313,Rajesh Sharma,Rajesh Sharma,kavya.7@okaxis,76417.64,type,1143,1846,61,False,0,False,0.99,,0,True,False,False,False,seasonal_burst
305,Rohan Verma,Rohan Verma,divya.234@oksbi,34906.78,type,1133,1084,100,False,0,False,0.92,,0,True,False,False,False,seasonal_burst
68,Suresh Pillai,Suresh Pillai,amit.390@hdfcbank,23901.29,type,1020,355,7,False,0,False,0.98,,0,False,False,False,False,clean
227,PNB,Punjab National Bank,karthik.375@hdfcbank,5479.0,type,604,391,3,False,0,False,0.35,,0,False,False,False,False,name_mismatch_abbr
198,Ramesh Solutions,Sanjay Patel,sanjay.834@icici,130345.15,type,1151,198,3,False,0,False,0.58,,0,False,False,False,False,biz_individual_mismatch
77,Zomato,Zomato,zomato@paytm,19893.06,type,1764,253,2,False,0,False,0.95,,0,False,False,False,False,clean
64,Rohan Verma,Rohan Verma,rohan.785@okaxis,38905.97,type,1292,691,4,False,0,False,0.91,,0,False,False,False,False,clean
214,Amit Enterprises,Meera Pillai,sanjay.658@okaxis,19462.18,type,1154,194,3,False,0,False,0.59,,0,False,False,False,False,biz_individual_mismatch
27,BookMyShow,BookMyShow,bookmyshow@hdfcbank,7095.1,type,675,335,8,False,0,False,0.91,,0,False,False,False,False,clean
320,Manoj Shah,Manoj Shah,meera.557@hdfcbank,2066.19,paste,568,167,3,False,0,False,0.95,,0,False,True,False,False,session_anomaly
309,Manoj Singh,Manoj Singh,suresh.92@ybl,34774.0,type,1029,1968,45,False,0,False,0.94,,0,True,False,False,False,seasonal_burst
183,PNB Support,Sneha Singh,pnb.support@yba,11941.37,paste,6,1,38,False,0,True,0.11,,0,False,True,False,False,clipboard_scam
113,Divya Sharma,Divya Sharma,sneha.819@ybl,55466.52,type,44,18,30,True,4,False,0.95,,4,False,False,False,False,mule_consortium
11,IRCTC,IRCTC,irctc@sbi,26994.97,type,1829,648,7,False,0,False,0.99,,0,False,False,False,False,clean
139,Hdfc Verify,Meera Sharma,hdfc.service@paytrn,3924.54,paste,1,2,20,False,0,True,0.18,,0,False,False,False,False,lookalike
94,Ramesh Nair,Ramesh Nair,divya.117@hdfcbank,124206.77,type,72,9,40,True,1,False,0.95,,1,False,False,False,False,mule
140,Sbi Verify,Pooja Singh,sbi.kyc@yba,14889.84,paste,12,1,18,True,1,True,0.35,,0,False,False,False,False,lookalike
261,Arjun Gupta,Arjun Gupta,arjun.new@hdfcbank,170147.45,type,3,0,1,False,0,False,0.93,,0,False,False,True,False,fresh_vpa
30,Zomato,Zomato,zomato@paytm,13333.63,type,1905,853,8,False,0,False,0.91,,0,False,False,False,False,clean
147,Paytm Support,Rajesh Rao,paytm.secure@0kaxis,5927.97,paste,10,0,28,False,0,True,0.38,,0,False,False,False,False,lookalike
29,Arjun Patel,Arjun Patel,divya.493@oksbi,10765.99,type,1121,974,1,False,0,False,0.9,,0,False,False,False,False,clean
273,Karthik Sharma,Pooja Patel,lakshmi.122@apl,13031.31,type,40,100,25,False,0,False,0.93,ring_01,0,False,False,False,False,ring_satellite
141,Phonepe Verify,Ramesh Joshi,phonepe.refund@hdfcb,9577.98,paste,8,3,12,False,0,True,0.41,,0,False,False,False,False,lookalike
213,Pooja Trading,Lakshmi Gupta,mohammed.68@icici,65311.69,type,1180,154,3,False,0,False,0.56,,0,False,False,False,False,biz_individual_mismatch
293,Suresh Rao,Pooja Singh,suresh.543@ybl,37498.67,type,33,100,25,False,0,False,0.85,ring_04,0,False,False,False,False,ring_satellite
118,Divya Pillai,Divya Pillai,rajesh.552@okaxis,102024.86,type,75,18,41,True,4,False,0.95,,4,False,False,False,False,mule_consortium
262,Amit Kumar,Amit Kumar,amit.new@paytm,344157.52,type,6,0,1,False,0,False,0.92,,0,False,False,True,False,fresh_vpa
317,Pooja Kumar,Pooja Kumar,rajesh.966@apl,21542.64,paste,648,104,3,False,0,False,0.98,,0,False,True,False,False,session_anomaly
240,PNB,Punjab National Bank,rohan.625@apl,48933.83,type,1004,242,3,False,0,False,0.35,,0,False,False,False,False,name_mismatch_abbr
58,Swiggy,Swiggy,swiggy@ybl,4760.02,type,1838,290,5,False,0,False,0.91,,0,False,False,False,False,clean
71,Karthik Menon,Karthik Menon,suresh.86@icici,32173.21,type,577,937,8,False,0,False,0.9,,0,False,False,False,False,clean
