tx_id,timestamp,entered_name,actual_name,payee_vpa,amount,input_method,vpa_age_days,prior_tx_count,unique_senders_7d,mule_flagged,mule_flag_count,is_lookalike,name_score,fraud_ring_id,label
615,2026-06-17T11:12:21.224527,Kavya Reddy,Kavya Reddy,ramesh.438@apl,19373.42,type,877,462,5,False,0,False,0.99,,clean
314,2026-05-28T07:47:08.980232,PhonePe,PhonePe,phonepe@ybl,2911.7,type,1497,215,8,False,0,False,0.98,,clean
133,2026-02-27T22:52:33.823738,Ramesh Menon,Ramesh Menon,deepa.376@apl,39266.36,type,1435,437,3,False,0,False,0.98,,clean
164,2026-04-15T05:35:52.563165,Rohan Kumar,Rohan Kumar,sanjay.490@paytm,29884.33,type,1340,256,6,False,0,False,0.86,,clean
944,2026-03-25T08:22:24.054768,Divya Solutions,Manoj Associates,arjun.487@apl,94996.29,type,1046,29,1,False,0,False,0.44,,name_mismatch
725,2026-06-12T20:04:22.006377,Manoj Gupta,Mohammed Verma,meera.985@apl,142859.29,paste,15,3,60,True,4,False,0.39,26,mule
951,2026-05-07T02:30:17.897204,Divya Ventures,Kavya Nair,divya.282@ybl,57533.33,type,734,42,5,False,0,False,0.64,,name_mismatch
601,2026-04-21T03:10:58.269659,PhonePe,PhonePe,phonepe@ybl,3447.02,type,1547,241,2,False,0,False,0.96,,clean
182,2026-03-23T01:24:37.455332,Mohammed Rao,Mohammed Rao,rohan.395@paytm,40880.11,paste,766,459,1,False,0,False,0.93,,clean
58,2026-03-03T02:43:38.493079,Vikram Singh,Vikram Singh,sanjay.264@icici,39120.52,paste,727,191,2,False,0,False,0.99,,clean
633,2026-05-18T17:03:45.710965,Deepa Pillai,Deepa Pillai,deepa.543@icici,44997.81,paste,342,223,7,False,0,False,0.98,,clean
65,2026-04-14T23:06:37.521411,Zomato,Zomato,zomato@paytm,2008.13,type,1875,235,7,False,0,False,0.91,,clean
908,2026-06-21T02:17:42.389226,Zomato Support,Karthik Rao,zomato.help@axl,6460.73,paste,2,5,9,False,0,True,0.63,49,lookalike
165,2026-04-23T19:46:24.210076,Manoj Sharma,Manoj Sharma,manoj.154@paytm,11137.78,type,496,189,5,False,0,False,0.88,,clean
628,2026-01-06T14:04:14.632434,Manoj Nair,Manoj Nair,ananya.655@icici,30912.0,type,886,441,3,False,0,False,0.88,,clean
643,2026-03-22T22:35:08.523677,Arjun Rao,Arjun Rao,rohan.351@paytm,45031.23,type,1333,109,3,False,0,False,0.98,,clean
684,2026-03-29T00:18:18.051563,PhonePe,PhonePe,phonepe@ybl,3796.59,type,696,90,4,False,0,False,0.92,,clean
276,2026-04-23T09:10:33.869630,Ramesh Sharma,Ramesh Sharma,deepa.889@apl,40510.98,paste,360,277,5,False,0,False,0.91,,clean
192,2026-03-02T04:10:34.312926,Karthik Enterprises,Karthik Enterprises,mohammed.846@ybl,3297.61,type,514,375,7,False,0,False,0.99,,clean
466,2026-05-11T20:52:23.294087,Zomato,Zomato,zomato@paytm,883.84,type,1740,83,8,False,0,False,0.9,,clean
691,2026-02-27T07:43:56.298995,Divya Iyer,Divya Iyer,kavya.515@oksbi,38718.59,type,1031,276,2,False,0,False,0.98,,clean
202,2026-03-11T17:36:06.108956,Rohan Patel,Rohan Patel,pooja.229@paytm,18359.62,paste,1081,363,6,False,0,False,0.9,,clean
939,2026-03-04T08:26:10.998875,Vikram Gupta,Mohammed Kumar,manoj.915@oksbi,56587.07,type,1439,26,4,False,0,False,0.4,,name_mismatch
410,2026-01-20T19:16:42.632827,Karthik Rao,Karthik Rao,arjun.151@hdfcbank,18127.25,paste,260,429,7,False,0,False,0.86,,clean
871,2026-06-20T09:58:31.672133,Amazon Pay Support,Karthik Joshi,amazon.pay.service@0kaxis,1735.26,paste,1,5,18,False,0,True,0.32,48,lookalike
799,2026-06-13T17:01:29.385289,Solutions Verma,Arjun Pillai,divya.396@apl,201001.32,paste,1,0,11,False,0,False,0.23,12,mule
797,2026-06-05T05:00:20.660203,Deepa Pillai,Lakshmi Gupta,pooja.873@paytm,128153.46,type,10,3,11,True,1,False,0.18,12,mule
14,2026-05-19T03:18:03.410785,Pooja Iyer,Pooja Iyer,ananya.155@ybl,2041.81,paste,742,81,3,False,0,False,0.9,,clean
365,2026-01-04T11:45:58.297571,Arjun Singh,Arjun Singh,deepa.119@oksbi,20477.94,type,1267,363,2,False,0,False,0.9,,clean
380,2026-02-20T05:18:49.918116,Swiggy,Swiggy,swiggy@ybl,2207.09,paste,702,396,3,False,0,False,0.93,,clean
270,2026-04-30T07:25:38.689013,Karthik Enterprises,Karthik Enterprises,mohammed.415@icici,31510.59,type,1473,164,6,False,0,False,0.97,,clean
355,2026-04-07T11:32:07.438400,Meera Nair,Meera Nair,suresh.659@oksbi,28560.64,paste,720,56,4,False,0,False,0.9,,clean
104,2026-04-20T02:25:38.510492,Kavya Gupta,Kavya Gupta,meera.840@oksbi,6948.08,type,468,327,1,False,0,False,1.0,,clean
682,2026-02-19T11:39:13.933022,Karthik Ventures,Karthik Ventures,manoj.752@hdfcbank,24721.55,type,903,432,3,False,0,False,0.86,,clean
651,2026-01-01T08:29:46.090552,Divya Patel,Divya Patel,arjun.616@ybl,11710.36,paste,1400,301,6,False,0,False,0.86,,clean
188,2026-05-16T13:02:54.892940,Suresh Verma,Suresh Verma,meera.530@icici,21504.92,paste,1047,184,2,False,0,False,0.91,,clean
791,2026-06-03T15:56:19.138300,Rajesh Menon,Manoj Verma,deepa.770@ybl,238595.31,paste,12,3,20,True,1,False,0.46,9,mule
990,2026-01-06T04:24:34.288883,Divya Joshi,Mohammed Ventures,manoj.125@hdfcbank,55115.5,type,285,79,5,False,0,False,0.69,,name_mismatch
194,2026-05-07T01:41:12.433086,Vikram Sharma,Vikram Sharma,rohan.733@icici,10095.49,type,91,475,2,False,0,False,0.93,,clean
505,2026-01-27T00:30:20.664395,Manoj Reddy,Manoj Reddy,suresh.594@apl,37293.43,paste,1274,335,7,False,0,False,0.89,,clean
813,2026-05-28T22:54:58.622485,Meera Kumar,Sanjay Singh,ananya.307@apl,237589.87,paste,4,0,33,True,1,False,0.29,24,mule
420,2026-06-04T03:58:33.834316,Vikram Kumar,Vikram Kumar,sanjay.172@ybl,16070.07,type,905,197,2,False,0,False,0.86,,clean
695,2025-12-30T14:44:38.996928,Rajesh Gupta,Rajesh Gupta,vikram.487@hdfcbank,5283.98,type,816,366,3,False,0,False,0.98,,clean
646,2026-03-13T13:22:36.547400,Sanjay Pillai,Sanjay Pillai,rohan.857@paytm,36316.74,paste,1332,405,1,False,0,False,0.97,,clean
57,2026-03-14T15:55:53.306194,Deepa Gupta,Deepa Gupta,priya.103@hdfcbank,31047.59,paste,734,422,3,False,0,False,0.9,,clean
120,2026-03-25T19:14:48.498242,Pooja Das,Pooja Das,divya.522@oksbi,45148.58,type,131,66,8,False,0,False,0.88,,clean
597,2026-02-21T08:49:31.955595,BookMyShow,BookMyShow,bookmyshow@hdfcbank,3323.28,paste,939,120,2,False,0,False,0.89,,clean
71,2026-04-02T18:24:52.559937,Priya Nair,Priya Nair,pooja.838@ybl,38024.21,paste,963,57,4,False,0,False,0.89,,clean
272,2026-01-06T04:32:46.005680,Lakshmi Singh,Lakshmi Singh,vikram.667@paytm,22718.83,type,121,184,8,False,0,False,0.92,,clean
973,2026-05-09T05:56:46.965943,Ramesh Kumar,Rajesh Sharma,rohan.559@ybl,82234.2,type,1352,99,3,False,0,False,0.57,,name_mismatch
56,2026-02-13T02:19:25.458464,PhonePe,PhonePe,phonepe@ybl,363.17,type,1255,252,2,False,0,False,0.9,,clean
745,2026-06-09T09:28:14.638822,Suresh Menon,Suresh Kumar,arjun.318@icici,170330.92,paste,25,2,53,True,2,False,0.45,18,mule
213,2026-05-19T18:53:31.906427,Arjun Patel,Arjun Patel,karthik.820@apl,12054.13,type,1315,150,5,False,0,False,0.91,,clean
598,2026-04-23T03:07:31.491992,IRCTC,IRCTC,irctc@sbi,4185.93,type,861,360,2,False,0,False,0.86,,clean
967,2026-05-20T05:44:52.051581,Ananya Pillai,Rohan Gupta,rajesh.415@hdfcbank,12732.45,type,1253,25,1,False,0,False,0.46,,name_mismatch
983,2026-04-08T23:58:45.573526,Mohammed Verma,Priya Traders,priya.308@apl,25563.04,type,1198,46,5,False,0,False,0.57,,name_mismatch
956,2026-05-14T15:12:36.416891,Mohammed Kumar,Vikram Services,vikram.775@paytm,66736.83,type,389,48,2,False,0,False,0.54,,name_mismatch
122,2026-06-09T21:51:29.281353,Suresh Verma,Suresh Verma,manoj.711@icici,29437.91,type,265,407,5,False,0,False,0.98,,clean
265,2026-03-15T07:16:21.127771,Kavya Reddy,Kavya Reddy,manoj.317@hdfcbank,10184.71,type,249,414,8,False,0,False,0.99,,clean
221,2026-05-01T14:47:33.657294,Rajesh Joshi,Rajesh Joshi,deepa.037@paytm,44943.29,type,1053,282,8,False,0,False,0.88,,clean
717,2026-06-03T06:52:11.660884,Trading Menon,Sanjay Reddy,kavya.764@oksbi,109479.09,paste,11,2,28,True,4,False,0.24,20,mule
462,2026-02-12T16:52:55.095727,Karthik Das,Karthik Das,vikram.606@ybl,12060.79,type,383,346,2,False,0,False,0.95,,clean
387,2026-02-24T22:30:22.301390,Meera Sharma,Meera Sharma,meera.864@oksbi,4738.08,paste,1111,351,4,False,0,False,0.95,,clean
146,2026-02-19T17:03:47.359589,Rohan Gupta,Rohan Gupta,ramesh.010@paytm,18074.71,type,1446,53,1,False,0,False,0.85,,clean
345,2026-06-12T11:00:09.725379,Paytm,Paytm,paytm@paytm,4479.04,type,1339,96,1,False,0,False,1.0,,clean
488,2026-06-21T04:40:54.543459,Amazon Pay,Amazon Pay,amazon.pay@apl,3343.35,type,1981,113,1,False,0,False,0.91,,clean
862,2026-06-22T03:15:24.762973,IRCTC Support,Manoj Pillai,irctc.refund@yba,18403.59,paste,2,1,20,False,0,True,0.52,42,lookalike
319,2026-02-28T22:36:27.033555,Deepa Verma,Deepa Verma,mohammed.639@icici,47271.58,type,1441,61,7,False,0,False,0.9,,clean
297,2026-03-08T03:04:17.548414,Rohan Patel,Rohan Patel,sanjay.955@hdfcbank,24584.9,type,953,281,4,False,0,False,0.85,,clean
227,2026-05-08T17:21:23.900994,Deepa Reddy,Deepa Reddy,manoj.659@icici,37484.8,type,910,350,8,False,0,False,0.96,,clean
145,2026-05-14T17:43:18.245730,BookMyShow,BookMyShow,bookmyshow@hdfcbank,788.27,type,549,375,2,False,0,False,0.99,,clean
479,2026-04-13T12:11:52.782311,Pooja Patel,Pooja Patel,pooja.724@oksbi,14232.96,type,1211,175,3,False,0,False,0.96,,clean
539,2026-01-13T14:00:03.812432,Suresh Industries,Suresh Industries,arjun.722@ybl,26915.7,paste,1254,489,5,False,0,False,0.98,,clean
739,2026-06-15T02:37:11.432464,Services Menon,Deepa Verma,manoj.420@okaxis,236543.66,type,2,3,52,True,2,False,0.48,24,mule
823,2026-06-09T20:47:55.210081,Trading Gupta,Sanjay Verma,karthik.556@oksbi,40578.96,paste,15,1,15,True,1,False,0.41,23,mule
232,2026-04-11T13:34:02.095436,Sanjay Verma,Sanjay Verma,divya.186@icici,40993.81,type,255,24,7,False,0,False,0.86,,clean
853,2026-06-20T20:42:08.768849,Flipkart Support,Deepa Verma,flipkart.verify@axl,12648.37,paste,6,0,5,True,1,True,0.5,59,lookalike
943,2025-12-26T10:13:46.512633,Mohammed Reddy,Priya Industries,sanjay.456@oksbi,55999.06,type,573,97,1,False,0,False,0.49,,name_mismatch
398,2026-01-02T21:25:17.710267,Deepa Patel,Deepa Patel,divya.149@paytm,11812.47,type,1200,188,5,False,0,False,0.9,,clean
594,2026-01-19T09:30:04.189476,Google Pay,Google Pay,googlepay@okaxis,286.78,type,386,446,7,False,0,False,0.88,,clean
938,2026-02-06T06:58:17.149993,Manoj Trading,Deepa Associates,meera.430@icici,27309.69,type,506,99,1,False,0,False,0.49,,name_mismatch
156,2026-05-15T00:26:25.874851,Ananya Gupta,Ananya Gupta,suresh.509@hdfcbank,29297.52,type,1101,359,3,False,0,False,0.96,,clean
281,2026-02-11T21:19:49.403077,Karthik Iyer,Karthik Iyer,arjun.165@hdfcbank,36572.58,type,1087,22,1,False,0,False,0.94,,clean
710,2026-06-13T00:55:00.713715,Priya Das,Suresh Patel,sanjay.156@ybl,174144.83,type,25,0,27,True,3,False,0.27,22,mule
893,2026-06-21T23:43:34.729621,Paytm Support,Lakshmi Kumar,paytm.verify@yba,24613.23,paste,9,4,8,True,1,True,0.47,43,lookalike
125,2026-03-14T22:23:02.964953,Kavya Joshi,Kavya Joshi,rajesh.737@icici,32313.19,paste,444,384,8,False,0,False,0.96,,clean
870,2026-06-14T17:04:57.969742,Swiggy Support,Priya Reddy,swiggy.kyc@yba,12682.69,paste,5,4,10,True,1,True,0.7,39,lookalike
423,2026-01-05T06:07:28.515976,Rajesh Kumar,Rajesh Kumar,suresh.896@apl,48606.88,paste,61,144,5,False,0,False,0.98,,clean
147,2026-06-16T15:20:50.465802,Rajesh Menon,Rajesh Menon,rohan.808@okaxis,5780.22,type,879,432,7,False,0,False,0.95,,clean
579,2026-03-07T23:38:33.426960,Zomato,Zomato,zomato@paytm,4887.91,type,720,269,3,False,0,False,0.92,,clean
97,2026-04-23T15:55:34.402355,Mohammed Menon,Mohammed Menon,priya.563@icici,28434.25,type,950,126,5,False,0,False,0.89,,clean
749,2026-06-06T10:45:20.347770,Enterprises Singh,Rajesh Kumar,meera.483@paytm,214995.88,type,8,0,49,False,0,False,0.36,23,mule
318,2026-02-23T08:19:22.698179,Paytm,Paytm,paytm@paytm,1955.15,type,1779,156,7,False,0,False,0.96,,clean
430,2026-05-05T15:00:41.604452,Vikram Sharma,Vikram Sharma,ananya.719@hdfcbank,11475.46,type,1131,103,1,False,0,False,1.0,,clean
516,2026-04-06T14:01:51.610205,Karthik Gupta,Karthik Gupta,ananya.267@apl,6405.78,type,835,32,6,False,0,False,0.96,,clean
681,2026-06-19T01:41:59.072393,Suresh Singh,Suresh Singh,arjun.441@paytm,16688.53,type,1350,292,3,False,0,False,0.88,,clean
915,2026-06-19T22:16:54.895855,Amazon Pay Support,Arjun Pillai,amazon.pay.cashback@axl,15642.19,paste,6,1,17,False,0,True,0.5,42,lookalike
340,2025-12-27T06:32:42.748735,Priya Enterprises,Priya Enterprises,manoj.549@ybl,3405.74,type,1427,405,2,False,0,False,0.99,,clean
625,2026-04-16T00:02:05.182515,Suresh Nair,Suresh Nair,rajesh.135@ybl,32290.94,type,1405,469,6,False,0,False,0.99,,clean
631,2026-05-20T21:56:50.981600,Pooja Reddy,Pooja Reddy,deepa.242@okaxis,37133.48,type,948,49,1,False,0,False,0.94,,clean
253,2026-01-23T14:32:40.380200,Vikram Singh,Vikram Singh,pooja.379@icici,43578.14,type,367,96,1,False,0,False,0.91,,clean
278,2026-05-22T03:49:21.500920,Manoj Singh,Manoj Singh,ananya.809@ybl,142.08,type,1206,61,5,False,0,False,0.98,,clean
537,2026-02-15T22:55:53.365955,Google Pay,Google Pay,googlepay@okaxis,275.78,type,852,487,5,False,0,False,0.99,,clean
481,2026-06-10T04:43:46.134055,Meera Nair,Meera Nair,lakshmi.546@apl,2979.46,type,849,129,8,False,0,False,0.86,,clean
703,2026-06-12T20:38:34.802024,Trading Das,Ramesh Iyer,lakshmi.804@paytm,43047.77,type,10,1,37,True,2,False,0.32,23,mule
482,2025-12-27T15:27:57.485670,Ananya Nair,Ananya Nair,rajesh.912@icici,47593.73,type,390,334,7,False,0,False,0.91,,clean
422,2026-03-25T12:02:10.709341,Arjun Verma,Arjun Verma,pooja.615@oksbi,4287.03,type,1362,196,3,False,0,False,0.97,35,clean
434,2026-06-13T06:17:38.355884,Rohan Reddy,Rohan Reddy,priya.498@hdfcbank,16746.06,paste,544,396,2,False,0,False,0.94,,clean
683,2026-02-21T08:30:30.354943,Rohan Joshi,Rohan Joshi,deepa.775@paytm,47977.82,paste,542,268,2,False,0,False,0.99,,clean
98,2026-01-22T09:32:31.325872,Sanjay Iyer,Sanjay Iyer,rajesh.202@hdfcbank,38530.32,type,283,235,8,False,0,False,0.9,,clean
463,2026-04-03T22:22:03.644717,BookMyShow,BookMyShow,bookmyshow@hdfcbank,2085.83,type,1925,44,2,False,0,False,0.93,,clean
638,2026-03-13T02:18:56.474522,Pooja Ventures,Pooja Ventures,ananya.200@icici,11339.73,type,777,405,4,False,0,False,0.85,,clean
359,2026-06-11T15:47:44.479724,Divya Reddy,Divya Reddy,rajesh.268@hdfcbank,38479.05,type,948,272,4,False,0,False,0.9,,clean
73,2026-06-20T19:28:40.508253,Pooja Nair,Pooja Nair,pooja.192@icici,13440.42,type,1113,74,7,False,0,False,0.99,,clean
406,2026-04-21T18:58:07.218037,IRCTC,IRCTC,irctc@sbi,3140.58,type,1631,459,7,False,0,False,0.97,,clean
183,2026-02-01T11:55:20.436148,Paytm,Paytm,paytm@paytm,2596.98,type,940,85,6,False,0,False,0.94,,clean
999,2026-05-28T10:15:16.436636,Meera Patel,Suresh Joshi,priya.129@hdfcbank,45740.71,type,1179,98,4,False,0,False,0.49,,name_mismatch
498,2026-05-25T02:56:39.847479,Ananya Rao,Ananya Rao,arjun.108@paytm,7320.57,paste,667,353,8,False,0,False,0.87,,clean
178,2026-03-19T01:40:38.595626,Divya Das,Divya Das,ananya.327@apl,42872.49,type,334,208,6,False,0,False,0.93,,clean
226,2026-01-07T02:14:42.624841,Flipkart,Flipkart,flipkart@icici,2668.65,type,1868,44,4,False,0,False,0.99,,clean
502,2025-12-27T01:37:15.303040,Ananya Gupta,Ananya Gupta,divya.212@apl,9863.19,type,1393,352,3,False,0,False,0.91,,clean
411,2026-04-09T14:21:38.784991,Rajesh Sharma,Rajesh Sharma,lakshmi.645@hdfcbank,19799.65,paste,600,230,8,False,0,False,0.96,,clean
752,2026-06-16T07:10:12.386162,Enterprises Gupta,Suresh Iyer,ramesh.714@icici,186180.22,paste,6,0,8,True,3,False,0.24,23,mule
604,2026-01-06T06:37:44.982455,Ramesh Das,Ramesh Das,arjun.920@ybl,28804.0,type,548,146,4,False,0,False,0.98,,clean
949,2026-06-15T15:04:24.921097,Deepa Solutions,Deepa Services,suresh.315@icici,91054.51,type,638,62,2,False,0,False,0.69,,name_mismatch
619,2026-05-10T09:12:59.052739,Kavya Verma,Kavya Verma,arjun.536@icici,43902.48,paste,169,69,7,False,0,False,0.95,,clean
796,2026-06-03T13:23:07.491724,Associates Singh,Lakshmi Reddy,meera.449@oksbi,173035.89,paste,24,1,23,True,2,False,0.19,34,mule
738,2026-05-30T16:22:01.074925,Associates Iyer,Karthik Kumar,ananya.970@apl,184834.72,type,12,0,28,True,1,False,0.27,36,mule
216,2026-05-21T12:41:29.692579,Ananya Kumar,Ananya Kumar,rohan.704@okaxis,44795.38,type,572,67,4,False,0,False,0.91,,clean
727,2026-06-15T23:58:12.847961,Ananya Reddy,Deepa Nair,priya.364@apl,194105.53,type,10,3,29,True,3,False,0.41,21,mule
305,2026-01-18T10:19:50.313954,Google Pay,Google Pay,googlepay@okaxis,4632.09,paste,448,403,3,False,0,False,0.85,,clean
662,2026-03-14T08:51:52.099254,Manoj Sharma,Manoj Sharma,ananya.853@apl,22731.01,type,716,488,2,False,0,False,0.88,,clean
473,2026-05-11T00:47:37.353125,Amazon Pay,Amazon Pay,amazon.pay@apl,1201.4,type,1627,163,4,False,0,False,0.96,,clean
509,2026-01-19T14:20:32.117447,Suresh Reddy,Suresh Reddy,kavya.099@paytm,32991.96,paste,971,360,6,False,0,False,0.93,,clean
869,2026-06-10T01:00:05.944015,Amazon Pay Support,Ramesh Kumar,amazon.pay.cashback@paytrn,20030.09,paste,4,3,14,False,0,True,0.55,52,lookalike
66,2026-01-28T01:50:05.795166,Paytm,Paytm,paytm@paytm,2907.87,type,1464,105,8,False,0,False,0.87,,clean
327,2026-04-24T11:07:24.433739,Pooja Rao,Pooja Rao,sanjay.628@hdfcbank,49036.42,paste,1234,178,2,False,0,False,0.96,,clean
578,2026-01-29T02:27:41.029717,Manoj Pillai,Manoj Pillai,sanjay.399@okaxis,27831.41,paste,861,429,1,False,0,False,0.97,,clean
928,2026-06-18T04:31:35.688624,Paytm Support,Manoj Gupta,paytm.kyc@0kaxis,28891.68,paste,1,5,17,True,1,True,0.34,39,lookalike
761,2026-06-16T08:40:31.314014,Traders Reddy,Pooja Das,mohammed.041@hdfcbank,205607.3,paste,13,1,49,True,1,False,0.27,19,mule
846,2026-06-17T11:03:02.394218,Traders Menon,Suresh Sharma,manoj.081@okaxis,63393.41,type,16,3,21,True,3,False,0.14,25,mule
993,2026-04-14T21:20:23.820301,Priya Sharma,Sanjay Verma,vikram.064@paytm,25393.25,type,981,98,1,False,0,False,0.51,,name_mismatch
955,2025-12-28T13:03:51.757404,Ramesh Reddy,Pooja Associates,kavya.230@icici,85663.38,type,1375,51,1,False,0,False,0.54,,name_mismatch
428,2026-06-09T06:36:38.856765,Amazon Pay,Amazon Pay,amazon.pay@apl,3804.18,type,1758,103,2,False,0,False,0.97,,clean
310,2026-01-07T04:16:53.354578,Amazon Pay,Amazon Pay,amazon.pay@apl,2451.05,type,602,374,8,False,0,False,0.94,,clean
854,2026-06-14T07:25:07.018794,Flipkart Support,Lakshmi Verma,flipkart.support@paytrn,13844.5,paste,3,0,6,True,2,True,0.69,44,lookalike
756,2026-06-07T20:19:38.797436,Enterprises Patel,Deepa Patel,ramesh.823@ybl,217266.5,paste,21,3,36,True,4,False,0.5,2,mule
349,2026-05-12T14:04:47.867279,Vikram Associates,Vikram Associates,sanjay.160@ybl,33087.92,paste,1124,108,5,False,0,False,0.95,,clean
519,2026-04-30T01:01:06.566757,Suresh Singh,Suresh Singh,manoj.914@apl,49897.93,paste,1150,12,4,False,0,False,0.99,,clean
500,2026-02-17T06:17:17.275692,Deepa Pillai,Deepa Pillai,arjun.708@okaxis,42853.26,type,862,16,7,False,0,False,0.9,,clean
709,2026-06-22T04:17:51.473907,Solutions Singh,Sanjay Singh,ananya.238@ybl,116999.48,paste,13,0,37,True,2,False,0.42,2,mule
447,2026-02-01T02:04:29.178376,IRCTC,IRCTC,irctc@sbi,4843.5,type,1366,406,8,False,0,False,0.97,,clean
393,2026-02-06T22:39:32.373532,BookMyShow,BookMyShow,bookmyshow@hdfcbank,3260.68,type,1695,49,5,False,0,False,0.97,,clean
228,2026-02-24T04:13:26.596134,PhonePe,PhonePe,phonepe@ybl,2772.33,type,1398,278,8,False,0,False,0.99,,clean
34,2026-01-15T18:39:49.448589,Karthik Gupta,Karthik Gupta,karthik.366@icici,6736.19,paste,772,275,3,False,0,False,0.96,,clean
210,2026-06-11T16:45:11.387397,Vikram Kumar,Vikram Kumar,ramesh.683@oksbi,23412.95,paste,1167,74,3,False,0,False,0.94,,clean
212,2026-05-18T01:22:34.633199,Kavya Gupta,Kavya Gupta,pooja.099@oksbi,15050.56,type,941,412,1,False,0,False,0.93,,clean
780,2026-05-24T13:31:27.817967,Enterprises Rao,Rohan Kumar,ramesh.600@icici,108493.31,paste,19,2,12,False,0,False,0.48,21,mule
351,2026-02-19T15:59:39.305265,Ramesh Patel,Ramesh Patel,pooja.678@okaxis,24624.83,paste,335,254,2,False,0,False,0.94,,clean
477,2026-04-13T11:26:44.840121,Google Pay,Google Pay,googlepay@okaxis,1262.38,type,726,151,8,False,0,False,1.0,,clean
205,2026-06-16T18:49:55.188224,Lakshmi Iyer,Lakshmi Iyer,pooja.583@oksbi,6149.75,type,1451,300,3,False,0,False,1.0,,clean
773,2026-06-10T02:43:13.963746,Enterprises Nair,Deepa Patel,arjun.984@oksbi,249625.7,paste,14,1,41,True,3,False,0.33,14,mule
776,2026-05-26T08:05:15.990649,Meera Sharma,Vikram Kumar,pooja.468@oksbi,101514.82,type,19,2,54,True,1,False,0.11,31,mule
255,2026-01-03T05:29:51.610185,Mohammed Menon,Mohammed Menon,suresh.256@icici,41024.06,type,485,33,6,False,0,False,0.86,,clean
491,2026-02-22T00:26:14.337648,Swiggy,Swiggy,swiggy@ybl,4373.5,paste,1871,124,8,False,0,False,0.91,20,clean
734,2026-06-08T15:25:09.847450,Deepa Menon,Rajesh Kumar,rohan.764@okaxis,138266.05,type,9,1,29,True,2,False,0.21,28,mule
320,2026-04-21T06:00:51.636176,Pooja Joshi,Pooja Joshi,mohammed.571@paytm,12007.77,type,292,390,4,False,0,False,0.9,,clean
972,2025-12-31T04:46:26.596595,Divya Kumar,Mohammed Services,rohan.443@paytm,63056.93,type,251,18,1,False,0,False,0.42,,name_mismatch
705,2026-06-17T01:56:18.374984,Traders Menon,Manoj Patel,manoj.197@okaxis,32374.02,paste,10,1,59,True,2,False,0.24,17,mule
43,2026-06-11T16:19:26.739728,Deepa Iyer,Deepa Iyer,sanjay.452@okaxis,909.37,paste,1193,156,3,False,0,False,0.88,,clean
307,2026-04-17T07:38:11.037686,Meera Reddy,Meera Reddy,vikram.601@oksbi,30641.29,type,240,183,7,False,0,False,0.85,,clean
632,2026-05-13T19:30:52.398213,PhonePe,PhonePe,phonepe@ybl,4471.79,type,1101,179,3,False,0,False,0.95,,clean
493,2026-05-28T15:33:20.633140,IRCTC,IRCTC,irctc@sbi,4387.36,type,1972,70,8,False,0,False,0.97,,clean
